"From","To","Count"
"0563C1","A50000","1"
"44546A","A50000","1"
"4472C4","C73342","1"
"5B9BD5","C73342","1"
"70AD47","C73342","1"
"954F72","C73342","1"
"ECDEC0","E9D8B6","1"
"FFC000","C9A45C","1"
